0100:002:221021:123331:0348:002:S:100:0003:   6925582169324+00010010*000000035
0100:002:221021:123331:0348:003:W:100:0000:   6925582169324:00000000+000000000
0100:002:221021:123334:0348:004:S:100:0003:   6925582169324+00010010*000000035
0100:002:221021:123334:0348:005:W:100:0000:   6925582169324:00000000+000000000
0100:002:221021:123359:0348:006:V:101:0008:           00.0%:00+00002+000000070
0100:002:221021:123359:0348:007:V:100:0008:           00.0%:00+00002+000000000
0100:002:221021:123359:0348:008:T:110:0008:                :01+00001+000001000
0100:002:221021:123359:0348:009:T:114:0008:                :01+00001-000000930
0100:002:221021:123359:0348:010:F:100:0008:                :00+00002+000000070
0100:002:221021:123553:0349:001:H:100:0008:                :00+00000+000000000
0100:002:221021:123553:0349:002:S:100:0069:        91843654+00010010*000001997
0100:002:221021:123553:0349:003:W:100:0000:        91843654:00000000+000000000
0100:002:221021:123605:0349:004:V:101:0008:           00.0%:00+00001+000001997
0100:002:221021:123605:0349:005:V:100:0008:           00.0%:00+00001+000000000
0100:002:221021:123605:0349:006:T:110:0008:                :01+00001+000001997
0100:002:221021:123605:0349:007:F:100:0008:                :00+00001+000001997
0100:002:221021:124043:0350:001:H:100:0008:                :00+00000+000000000
0100:002:221021:124043:0350:002:S:101:0083:   7622300736224+00010010*000000317
0100:002:221021:124043:0350:003:W:100:0000:   7622300736224:00000000+000000000
0100:002:221021:124045:0350:004:S:101:0083:   7622300736224+00010010*000000317
0100:002:221021:124045:0350:005:W:100:0000:   7622300736224:00000000+000000000
0100:002:221021:124048:0350:006:S:101:0083:   7622300736224+00010010*000000317
0100:002:221021:124048:0350:007:W:100:0000:   7622300736224:00000000+000000000
0100:002:221021:124050:0350:008:S:101:0083:   7622300736224+00010010*000000317
0100:002:221021:124050:0350:009:W:100:0000:   7622300736224:00000000+000000000
0100:002:221021:124052:0350:010:S:101:0083:   7622300736224+00010010*000000317
0100:002:221021:124052:0350:011:W:100:0000:   7622300736224:00000000+000000000
0100:002:221021:124055:0350:012:S:101:0083:   7622300736224+00010010*000000317
0100:002:221021:124055:0350:013:W:100:0000:   7622300736224:00000000+000000000
0100:002:221021:124132:0350:014:S:100:0025:   7441003505230+00010010*000000080
0100:002:221021:124132:0350:015:W:100:0000:   7441003505230:00000000+000000000
0100:002:221021:124133:0350:016:S:100:0025:   7441003545236+00010010*000000080
0100:002:221021:124133:0350:017:W:100:0000:   7441003545236:00000000+000000000
0100:002:221021:124220:0350:018:V:101:0008:           00.0%:00+00008+000002062
0100:002:221021:124220:0350:019:V:100:0008:           00.0%:00+00008+000000000
0100:002:221021:124220:0350:020:T:110:0008:            0004:12+00001+000002062
0100:002:221021:124220:0350:021:F:100:0008:                :00+00008+000002062
0100:002:221021:124308:0351:001:H:100:0008:                :00+00000+000000000
0100:002:221021:124308:0351:002:S:100:0025:    860001280913+00010010*000000150
0100:002:221021:124308:0351:003:W:100:0000:    860001280913:00000000+000000000
0100:002:221021:124314:0351:004:V:101:0008:           00.0%:00+00001+000000150
0100:002:221021:124314:0351:005:V:100:0008:           00.0%:00+00001+000000000
0100:002:221021:124314:0351:006:T:110:0008:                :01+00001+000000150
0100:002:221021:124314:0351:007:F:100:0008:                :00+00001+000000150
0100:002:221021:124343:0352:001:H:100:0008:                :00+00000+000000000
0100:002:221021:124343:0352:002:S:101:0024:   7750075056350+00010010*000000797
0100:002:221021:124343:0352:003:W:100:0000:   7750075056350:00000000+000000000
0100:002:221021:124359:0352:004:V:101:0008:           00.0%:00+00001+000000797
0100:002:221021:124359:0352:005:V:100:0008:           00.0%:00+00001+000000000
0100:002:221021:124359:0352:006:T:110:0008:                :01+00001+000002000
0100:002:221021:124359:0352:007:T:114:0008:                :01+00001-000001203
0100:002:221021:124359:0352:008:F:100:0008:                :00+00001+000000797
